日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260331,6494,ＮＦＫホールディングス,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6495,宮入バルブ製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6496,中北製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6497,ハマイ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6498,キッツ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260331,6501,日立製作所,プライム（内国株式）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20260331,6503,三菱電機,プライム（内国株式）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20260331,6504,富士電機,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20260331,6505,東洋電機製造,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20260331,6506,安川電機,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20260331,6507,シンフォニアテクノロジー,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20260331,6508,明電舎,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20260331,6513,オリジン,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20260331,6516,山洋電気,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20260331,6517,デンヨー,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20260331,6518,三相電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20260331,6521,オキサイド,グロース（内国株式）,3650,電気機器,9,電機・精密,-,-
20260331,6522,アスタリスク,グロース（内国株式）,3650,電気機器,9,電機・精密,-,-
20260331,6523,ＰＨＣホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20260331,6524,湖北工業,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20260331,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20260331,6526,ソシオネクスト,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20260331,6527,ワカ製作所,PRO Market,3650,電気機器,9,電機・精密,-,-
20260331,6532,ベイカレント,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20260331,6533,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260331,6535,アイモバイル,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260331,6537,ＷＡＳＨハウス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6538,ディスラプターズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6539,ＭＳ－Ｊａｐａｎ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260331,6540,船場,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6543,日宣,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6544,ジャパンエレベーターサービスホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
